id,created_at,updated_at,archived,name
1,2019-02-12 16:57:47.223793+05:30,2019-02-12 16:57:47.223793+05:30,f,Monday
2,2019-02-12 16:57:52.767185+05:30,2019-02-12 16:57:52.767185+05:30,f,Tuesday
3,2019-02-12 16:57:58.108545+05:30,2019-02-12 16:57:58.108545+05:30,f,Wednesday
4,2019-02-12 16:58:05.294556+05:30,2019-02-12 16:58:05.294556+05:30,f,Thursday
5,2019-02-12 16:58:09.41223+05:30,2019-02-12 16:58:09.41223+05:30,f,Friday
